Sr. No.,Location,Sub-Area,Property_type_BHK,Property Area in Sq. Ft.,Price in lakhs,Price in Millions,Company Name,TownShip Name/ Society Name,Total TownShip Area in Acres,ClubHouse,School / University in Township ,Hospital in TownShip,Mall in TownShip,Park / Jogging track,Swimming Pool,Gym
188,"Pune, Maharashtra, India",bavdhan,1,392,39.49,3.949,vijaya Laxmi infrarealtors,Satyam Shery,,Yes,No,No,No,Yes,No ,No 
189,"Pune, Maharashtra, India",bavdhan,2,667,64.99,6.499,vijaya Laxmi infrarealtors,Satyam Shery,,Yes,No,No,No,Yes,No ,No 
190,"Pune, Maharashtra, India",bavdhan,2,641,64.99,6.499,vijaya Laxmi infrarealtors,Satyam Shery,,Yes,No,No,No,Yes,No ,No 
191,"Pune, Maharashtra, India",bavdhan,2,665,64.99,6.499,vijaya Laxmi infrarealtors,Satyam Shery,,Yes,No,No,No,Yes,No ,No 
192,"Pune, Maharashtra, India",talegoan ,1,280,13.19,1.319,Calyx Spaces,Atulya Kanhe,,Yes,No,No,No,Yes,Yes,Yes
193,"Pune, Maharashtra, India",talegoan ,2,385,17.29,1.729,Calyx Spaces,Atulya Kanhe,,Yes,No,No,No,Yes,No,Yes
194,"Pune, Maharashtra, India",BANER,2,730,87,8.7,SUPREME,SUPREME ESTIA,5,Yes,No,No,No,Yes,Yes,Yes
195,"Pune, Maharashtra, India",BANER,3,1070 to 1200,129,12.9,SUPREME,SUPREME ESTIA,5,Yes,No,No,No,Yes,Yes,Yes
196,"Pune, Maharashtra, India",BANER,3,1300 to 1400,160,16,SUPREME,SUPREME ESTIA,5,Yes,No,No,No,Yes,Yes,Yes
197,"Pune, Maharashtra, India",BANER,4,1600 +,230,23,SUPREME,SUPREME ESTIA,5,Yes,No,No,No,Yes,Yes,Yes
198,"Pune, Maharashtra, India",BANER,2,769 to 809 ,95,9.5,Tejraaj Group,TEJ ELEVIA,2.5,No,No,No,No,Yes,Yes,Yes
199,"Pune, Maharashtra, India",BANER,3,1101 to 1113,135,13.5,Tejraaj Group,TEJ ELEVIA,2.5,No,No,No,No,Yes,Yes,Yes
200,"Pune, Maharashtra, India",BANER,2,776,90.68,9.068,VTP Reality,vtp solitaire ,,Yes,No,No,No,Yes,Yes,Yes
